Breakdown,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents,21879000000.0,20945000000.0,26465000000.0,18498000000.0
Other short-term investments,91883000000.0,118704000000.0,110229000000.0,101177000000.0
Total cash,113762000000.0,139649000000.0,136694000000.0,119675000000.0
Net receivables,40258000000.0,39304000000.0,30930000000.0,25326000000.0
Inventory,2670000000.0,1170000000.0,728000000.0,999000000.0
Other current assets,8105000000.0,7054000000.0,5490000000.0,4412000000.0
Total current assets,164795000000.0,188143000000.0,174296000000.0,152578000000.0
Gross property plant and equipment,127049000000.0,110558000000.0,96960000000.0,84587000000.0
Accumulated depreciation,-59042000000.0,-49414000000.0,-41713000000.0,-30561000000.0
Net property plant and equipment,127049000000.0,110558000000.0,96960000000.0,84587000000.0
Equity and other investments,30492000000.0,29549000000.0,20703000000.0,13078000000.0
Goodwill,28960000000.0,22956000000.0,21175000000.0,20624000000.0
Intangible assets,2084000000.0,1417000000.0,1445000000.0,1979000000.0
Other long-term assets,6623000000.0,5361000000.0,3953000000.0,2342000000.0
Total non-current assets,200469000000.0,171125000000.0,145320000000.0,123331000000.0
Total assets,365264000000.0,359268000000.0,319616000000.0,275909000000.0
Accounts payable,5128000000.0,6037000000.0,5589000000.0,5561000000.0
Taxes payable,,808000000.0,1485000000.0,274000000.0
Accrued liabilities,46236000000.0,40232000000.0,36131000000.0,28983000000.0
Deferred revenues,3908000000.0,3288000000.0,2543000000.0,1908000000.0
Other current liabilities,9106000000.0,9799000000.0,10409000000.0,9405000000.0
Total current liabilities,69300000000.0,64254000000.0,56834000000.0,45221000000.0
Long-term debt,14701000000.0,14817000000.0,13932000000.0,4554000000.0
Deferred tax liabilities,514000000.0,5257000000.0,3561000000.0,1701000000.0
Deferred revenues,599000000.0,535000000.0,481000000.0,358000000.0
Other long-term liabilities,2247000000.0,2205000000.0,2269000000.0,2534000000.0
Total non-current liabilities,39820000000.0,43379000000.0,40238000000.0,29246000000.0
Total liabilities,109120000000.0,107633000000.0,97072000000.0,74467000000.0
Common stock,68184000000.0,61774000000.0,58510000000.0,50552000000.0
Retained earnings,195563000000.0,191484000000.0,163401000000.0,152122000000.0
Accumulated other comprehensive income,-7603000000.0,-1623000000.0,633000000.0,-1232000000.0
Total stockholders' equity,256144000000.0,251635000000.0,222544000000.0,201442000000.0
Total liabilities and stockholders' equity,365264000000.0,359268000000.0,319616000000.0,275909000000.0
