,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
TaxEffectOfUnusualItems,370968000.0,-286479000.0,-981507000.0,1948860000.0,
TaxRateForCalcs,0.164,0.139,0.159,0.162,
NormalizedEBITDA,133132000000.0,100032000000.0,91333000000.0,91491000000.0,
TotalUnusualItems,2262000000.0,-2061000000.0,-6173000000.0,12030000000.0,
TotalUnusualItemsExcludingGoodwill,2262000000.0,-2061000000.0,-6173000000.0,12030000000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
ReconciledDepreciation,15311000000.0,11946000000.0,13475000000.0,12441000000.0,
ReconciledCostOfRevenue,146306000000.0,133332000000.0,126203000000.0,110939000000.0,
EBITDA,135394000000.0,97971000000.0,85160000000.0,103521000000.0,
EBIT,120083000000.0,86025000000.0,71685000000.0,91080000000.0,
NetInterestIncome,4214000000.0,3557000000.0,1817000000.0,1153000000.0,
InterestExpense,268000000.0,308000000.0,357000000.0,346000000.0,
InterestIncome,4482000000.0,3865000000.0,2174000000.0,1499000000.0,
NormalizedIncome,98226968000.0,75569521000.0,65163493000.0,65951860000.0,
NetIncomeFromContinuingAndDiscontinuedOperation,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
TotalExpenses,237628000000.0,223101000000.0,207994000000.0,178923000000.0,
TotalOperatingIncomeAsReported,112390000000.0,84293000000.0,74842000000.0,78714000000.0,
DilutedAverageShares,,12722000000.0,13159000000.0,13553000000.0,13740560000.0
BasicAverageShares,,12630000000.0,13063000000.0,13353000000.0,13616320000.0
DilutedEPS,,5.8,4.56,5.61,2.9305
BasicEPS,,5.84,4.59,5.69,2.9575
DilutedNIAvailtoComStockholders,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
NetIncomeCommonStockholders,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
NetIncome,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
NetIncomeIncludingNoncontrollingInterests,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
NetIncomeContinuousOperations,100118000000.0,73795000000.0,59972000000.0,76033000000.0,
TaxProvision,19697000000.0,11922000000.0,11356000000.0,14701000000.0,
PretaxIncome,119815000000.0,85717000000.0,71328000000.0,90734000000.0,
OtherIncomeExpense,3211000000.0,-2133000000.0,-5331000000.0,10867000000.0,
OtherNonOperatingIncomeExpenses,1137000000.0,556000000.0,1179000000.0,-1497000000.0,
SpecialIncomeCharges,,,,0.0,0.0
EarningsFromEquityInterest,-188000000.0,-628000000.0,-337000000.0,334000000.0,
GainOnSaleOfSecurity,2262000000.0,-2061000000.0,-6173000000.0,12030000000.0,
NetNonOperatingInterestIncomeExpense,4214000000.0,3557000000.0,1817000000.0,1153000000.0,
InterestExpenseNonOperating,268000000.0,308000000.0,357000000.0,346000000.0,
InterestIncomeNonOperating,4482000000.0,3865000000.0,2174000000.0,1499000000.0,
OperatingIncome,112390000000.0,84293000000.0,74842000000.0,78714000000.0,
OperatingExpense,91322000000.0,89769000000.0,81791000000.0,67984000000.0,
ResearchAndDevelopment,49326000000.0,45427000000.0,39500000000.0,31562000000.0,
SellingGeneralAndAdministration,41996000000.0,44342000000.0,42291000000.0,36422000000.0,
SellingAndMarketingExpense,27808000000.0,27917000000.0,26567000000.0,22912000000.0,
GeneralAndAdministrativeExpense,14188000000.0,16425000000.0,15724000000.0,13510000000.0,
OtherGandA,14188000000.0,16425000000.0,15724000000.0,13510000000.0,
GrossProfit,203712000000.0,174062000000.0,156633000000.0,146698000000.0,
CostOfRevenue,146306000000.0,133332000000.0,126203000000.0,110939000000.0,
TotalRevenue,350018000000.0,307394000000.0,282836000000.0,257637000000.0,
OperatingRevenue,350018000000.0,307394000000.0,282836000000.0,257637000000.0,
