,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
TaxEffectOfUnusualItems,-136800000.0,0.0,-14080000.0,2970000.0,
TaxRateForCalcs,0.2,0.21,0.08,0.11,
NormalizedEBITDA,15392000000.0,14796000000.0,17833000000.0,9598000000.0,
TotalUnusualItems,-684000000.0,0.0,-176000000.0,27000000.0,
TotalUnusualItemsExcludingGoodwill,-684000000.0,0.0,-176000000.0,27000000.0,
NetIncomeFromContinuingOperationNetMinorityInterest,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
ReconciledDepreciation,5368000000.0,4667000000.0,3747000000.0,2911000000.0,
ReconciledCostOfRevenue,80240000000.0,79113000000.0,60609000000.0,40217000000.0,
EBITDA,14708000000.0,14796000000.0,17657000000.0,9625000000.0,
EBIT,9340000000.0,10129000000.0,13910000000.0,6714000000.0,
NetInterestIncome,1219000000.0,910000000.0,106000000.0,-315000000.0,
InterestExpense,350000000.0,156000000.0,191000000.0,371000000.0,
InterestIncome,1569000000.0,1066000000.0,297000000.0,56000000.0,
NormalizedIncome,7677200000.0,14999000000.0,12744920000.0,5499970000.0,
NetIncomeFromContinuingAndDiscontinuedOperation,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
TotalExpenses,89930000000.0,87882000000.0,67630000000.0,47327000000.0,
RentExpenseSupplemental,1003000000.0,1268000000.0,1509000000.0,978000000.0,
TotalOperatingIncomeAsReported,7076000000.0,8891000000.0,13656000000.0,6523000000.0,
DilutedAverageShares,3498000000.0,3482750000.0,3475000000.0,3386000000.0,
BasicAverageShares,3197000000.0,3173500000.0,3130000000.0,2959000000.0,
DilutedEPS,2.04,4.31,3.62,1.63,
BasicEPS,2.23,4.725697,4.02,1.87,
DilutedNIAvailtoComStockholders,7130000000.0,14999000000.0,12584000000.0,5533000000.0,
AverageDilutionEarnings,0.0,0.0,1000000.0,9000000.0,
NetIncomeCommonStockholders,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
OtherunderPreferredStockDividend,,,,-5000000.0,31000000.0
NetIncome,7130000000.0,14999000000.0,12583000000.0,5524000000.0,
MinorityInterests,-23000000.0,25000000.0,-4000000.0,-120000000.0,
NetIncomeIncludingNoncontrollingInterests,7153000000.0,14974000000.0,12587000000.0,5644000000.0,
NetIncomeContinuousOperations,7153000000.0,14974000000.0,12587000000.0,5644000000.0,
TaxProvision,1837000000.0,-5001000000.0,1132000000.0,699000000.0,
PretaxIncome,8990000000.0,9973000000.0,13719000000.0,6343000000.0,
OtherIncomeExpense,11000000.0,172000000.0,-219000000.0,162000000.0,
OtherNonOperatingIncomeExpenses,695000000.0,172000000.0,-43000000.0,135000000.0,
SpecialIncomeCharges,-684000000.0,0.0,-176000000.0,27000000.0,
RestructuringAndMergernAcquisition,684000000.0,0.0,176000000.0,-27000000.0,
NetNonOperatingInterestIncomeExpense,1219000000.0,910000000.0,106000000.0,-315000000.0,
InterestExpenseNonOperating,350000000.0,156000000.0,191000000.0,371000000.0,
InterestIncomeNonOperating,1569000000.0,1066000000.0,297000000.0,56000000.0,
OperatingIncome,7760000000.0,8891000000.0,13832000000.0,6496000000.0,
OperatingExpense,9690000000.0,8769000000.0,7021000000.0,7110000000.0,
ResearchAndDevelopment,4540000000.0,3969000000.0,3075000000.0,2593000000.0,
SellingGeneralAndAdministration,5150000000.0,4800000000.0,3946000000.0,4517000000.0,
GrossProfit,17450000000.0,17660000000.0,20853000000.0,13606000000.0,
CostOfRevenue,80240000000.0,79113000000.0,60609000000.0,40217000000.0,
TotalRevenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,
OperatingRevenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,
