Income,Generic
Total revenue,Revenue
Cost of revenue,Cost of Goods Sold
Gross profit,Gross Profit
,Gross Profit Ratio
Research development,Research and Development Expenses
,General and Administrative Expenses
,Selling and Marketing Expenses
Selling general and administrative,"Selling, General and Administrative Expenses"
,Other Expenses
Total operating expenses,Operating Expenses
,Cost and Expenses
,Interest Income
Interest expense,Interest Expense
,Depreciation and Amortization
EBITDA,EBITDA
,EBITDA Ratio
Operating income or loss,Operating Income
,Operating Income Ratio
Total other income/expenses net,Total Other Income
Income before tax,Income Before Tax
,Income Before Tax Ratio
Income tax expense,Income Tax Expense
Net income,Net Income
,Net Income Ratio
Basic EPS,EPS
Diluted EPS,EPS Diluted
Basic average shares,Weighted Average Shares
Diluted average shares,Weighted Average Shares Diluted
