Date,Identifier,Currency,Volume,Price,Costs,
2000-01-07,ASML,USD,9.00,30.82,-3.00,
2000-01-10,SKY,USD,12.00,15.23,-2.00,
2000-01-28,AMZN,USD,8.00,3.06,-3.00,
2000-02-23,FIX,USD,8.00,6.99,0.00,
2000-02-28,MSFT,USD,13.00,28.35,0.00,
2000-03-31,FIX,USD,9.00,5.14,-1.00,
2000-04-06,SKY,USD,11.00,13.70,-2.00,
2000-04-27,AMD,USD,10.00,42.81,-3.00,
2000-05-08,AAPL,USD,5.00,0.83,-2.00,
2000-06-01,FICO,USD,15.00,12.14,-3.00,
2000-06-07,SKY,USD,-1.00,14.04,-1.00,
2000-07-07,MSFT,USD,15.00,25.12,-2.00,
2000-08-29,FIX,USD,7.00,4.28,-2.00,
2000-11-13,SKY,USD,10.00,13.69,-1.00,
2000-11-15,AMD,USD,5.00,22.13,-1.00,
2000-11-16,BAC,USD,2.00,11.25,-3.00,
2000-11-29,BAC,USD,15.00,11.09,0.00,
2001-01-22,FIX,USD,8.00,1.75,-2.00,
2001-02-13,AMD,USD,15.00,24.16,-1.00,
2001-03-20,SKY,USD,-4.00,15.78,-2.00,
2001-03-28,FICO,USD,4.00,17.05,0.00,
2001-04-20,AAPL,USD,12.00,0.38,0.00,
2001-05-03,AAPL,USD,12.00,0.37,0.00,
2001-05-23,AAPL,USD,15.00,0.35,0.00,
2001-05-29,SKY,USD,8.00,16.47,0.00,
2001-06-04,AMZN,USD,-2.00,0.84,-1.00,
2001-08-13,ASML,USD,10.00,18.16,0.00,
2001-09-18,ALGN,USD,4.00,5.01,-3.00,
2001-09-26,ALGN,USD,-1.00,2.68,-1.00,
2001-10-15,CWST,USD,4.00,11.43,0.00,
2001-11-16,OXY,USD,3.00,6.27,0.00,
2001-12-12,SKY,USD,9.00,19.95,0.00,
2001-12-28,WMT,USD,8.00,12.71,-3.00,
2002-04-01,MSFT,USD,15.00,18.43,0.00,
2002-04-02,FICO,USD,14.00,26.79,0.00,
2002-04-03,FIX,USD,7.00,3.79,0.00,
2002-04-08,ALGN,USD,14.00,4.50,0.00,
2002-04-12,BAC,USD,4.00,19.97,-1.00,
2002-05-03,SKY,USD,6.00,25.57,-2.00,
2002-06-06,CWST,USD,-1.00,11.49,0.00,
2002-07-05,FICO,USD,1.00,21.54,0.00,
2002-07-25,SKY,USD,3.00,20.19,-3.00,
2002-08-07,CAMT,USD,2.00,0.83,-3.00,
2002-08-16,FICO,USD,4.00,24.60,0.00,
2002-08-22,ALGN,USD,-2.00,2.45,-1.00,
2002-09-20,NVDA,USD,13.00,0.07,-3.00,
2002-09-25,ALGN,USD,-2.00,2.88,-3.00,
2002-10-17,SKY,USD,-1.00,18.69,0.00,
2002-11-06,ALGN,USD,-1.00,1.71,0.00,
2002-11-15,MSFT,USD,1.00,17.56,-1.00,
2002-11-18,NFLX,USD,9.00,0.77,-2.00,
2002-12-20,CWST,USD,11.00,9.17,-2.00,
2003-01-09,AMD,USD,14.00,6.86,-2.00,
2003-01-27,MSFT,USD,7.00,15.15,0.00,
2003-01-29,CAMT,USD,7.00,0.37,-2.00,
2003-02-07,SKY,USD,11.00,18.17,0.00,
2003-02-11,FIX,USD,4.00,2.30,-2.00,
2003-02-13,AAPL,USD,1.00,0.22,-3.00,
2003-02-20,SKY,USD,-1.00,17.78,0.00,
2003-03-06,ASML,USD,11.00,6.03,-2.00,
2003-04-03,CAMT,USD,13.00,0.44,-2.00,
2003-04-08,OXY,USD,-1.00,8.25,-1.00,
2003-04-15,WMT,USD,-4.00,11.96,-2.00,
2003-05-20,FIX,USD,-4.00,1.94,-3.00,
2003-06-23,FIX,USD,-5.00,2.03,-1.00,
2003-07-14,AAPL,USD,12.00,0.30,-1.00,
2003-07-15,ASML,USD,10.00,11.34,-3.00,
2003-07-31,NVDA,USD,1.00,0.15,-3.00,
2003-08-05,SKY,USD,1.00,19.89,-2.00,
2003-08-13,NVDA,USD,1.00,0.13,0.00,
2003-09-03,BAC,USD,-5.00,23.90,-3.00,
2003-09-05,ALGN,USD,-4.00,13.50,-3.00,
2003-10-07,NFLX,USD,13.00,3.12,-2.00,
2003-10-21,AMZN,USD,-5.00,2.99,-1.00,
2003-11-04,ALGN,USD,9.00,16.96,-2.00,
2003-11-25,CAMT,USD,-3.00,3.21,-1.00,
2004-01-29,NFLX,USD,10.00,5.07,-3.00,
2004-03-08,ALGN,USD,3.00,19.16,-2.00,
2004-03-10,AMD,USD,2.00,14.40,0.00,
2004-03-15,NVDA,USD,-5.00,0.16,-3.00,
2004-03-25,ASML,USD,15.00,16.50,0.00,
2004-05-03,FICO,USD,13.00,33.25,-1.00,
2004-05-07,SKY,USD,3.00,29.42,0.00,
2004-07-12,FICO,USD,2.00,30.76,-3.00,
2004-08-06,AMD,USD,-4.00,11.30,-1.00,
2004-08-11,BAC,USD,2.00,26.98,-3.00,
2004-08-24,GOOGL,USD,10.00,2.62,-2.00,
2004-10-12,NFLX,USD,11.00,2.49,-1.00,
2004-10-19,AMZN,USD,12.00,1.93,-3.00,
2004-11-11,ASML,USD,8.00,14.03,-2.00,
2004-12-01,GOOGL,USD,6.00,4.51,-3.00,
2004-12-29,AMZN,USD,7.00,2.24,0.00,
2005-01-06,ASML,USD,11.00,13.46,-2.00,
2005-02-17,GOOGL,USD,12.00,4.88,-1.00,
